parser,embedding,llm,reasoning_effort,temperature,append_outputs,hyperparam_id,doi,dimension,human_coder,paper_id,cosine,deviation_agree
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,hypothesis,BC,1,0.8937190031895041,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,hypothesis,JC,1,0.8185871467820538,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,datas,BC,1,0.26084563885486134,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,datas,JC,1,0.6302807384969304,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,inex,BC,1,0.7417187825005549,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,inex,JC,1,0.6400316324229343,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,samplesize,BC,1,0.8798796955631745,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,samplesize,JC,1,0.8533213868740553,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,manvars,BC,1,0.6948142358330881,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,manvars,JC,1,0.593133960042931,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,measurevars,BC,1,0.7131545081186528,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,measurevars,JC,1,0.8100368224322716,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,stats,BC,1,0.5389177665976437,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,stats,JC,1,1,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,transf,BC,1,0.6096337559275906,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,transf,JC,1,0.7534229303285567,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,missd,BC,1,0.8744099721426316,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_1,missd,JC,1,0.7928264685258379,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,hypothesis,BC,13,0.9218921376680378,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,hypothesis,JC,13,0.8131387013726131,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,datas,BC,13,0.7803882523098138,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,datas,JC,13,0.959878846270764,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,inex,BC,13,0.4193710519031508,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,inex,JC,13,0.6347917635045675,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,samplesize,BC,13,0.9304408007776572,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,samplesize,JC,13,0.3130135930235864,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,manvars,BC,13,0.5602428050425813,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,manvars,JC,13,0.7581654006900628,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,measurevars,BC,13,0.4844354949996148,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,measurevars,JC,13,0.41649097311288846,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,stats,BC,13,0.5450212507107401,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,stats,JC,13,0.5037233977174371,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,transf,BC,13,0.5812458392990052,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,transf,JC,13,0.7167976895371644,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,missd,BC,13,0.8069616112253837,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_2,missd,JC,13,0.7817450533882436,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,hypothesis,BC,24,0.8279271454898295,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,hypothesis,JC,24,0.8371821418576573,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,datas,BC,24,0.9240580230568829,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,datas,JC,24,0.44255492631981214,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,inex,BC,24,0.9138103213206424,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,inex,JC,24,0.8174228331544893,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,samplesize,BC,24,0.8662105798830233,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,samplesize,JC,24,0.527864732190661,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,manvars,BC,24,0.7429693751364728,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,manvars,JC,24,0.7588330870043583,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,measurevars,BC,24,0.6935145335946679,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,measurevars,JC,24,0.7874161455535295,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,stats,BC,24,0.7273706182167236,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,stats,JC,24,0.4084549416194404,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,transf,BC,24,0.548136753327748,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,transf,JC,24,0.6478921022054699,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,missd,BC,24,0.7204798709965787,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_3,missd,JC,24,0.6796200243536625,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,hypothesis,BC,35,0.8327871649527253,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,hypothesis,JC,35,0.7905639905827642,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,datas,BC,35,0.889901119214578,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,datas,JC,35,0.9868868478323074,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,inex,BC,35,0.5773723068913745,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,inex,JC,35,0.5657500004647078,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,samplesize,BC,35,0.6395028449998718,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,samplesize,JC,35,0.5401074391372525,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,manvars,BC,35,0.7911012022865475,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,manvars,JC,35,0.9702389464674357,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,measurevars,BC,35,0.5580105537061868,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,measurevars,JC,35,0.8077950985615844,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,stats,BC,35,0.9348074202373192,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,stats,JC,35,0.3928040352174144,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,transf,BC,35,0.8342667760267541,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,transf,JC,35,0.9169428583513812,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,missd,BC,35,0.6568206777597887,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_4,missd,JC,35,0.7328747151428869,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,hypothesis,BC,46,0.7800688311652839,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,hypothesis,JC,46,0.7152375081299509,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,datas,BC,46,0.6994459884602331,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,datas,JC,46,0.7372956460239618,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,inex,BC,46,0.8856537539594539,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,inex,JC,46,0.6162486343765187,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,samplesize,BC,46,0.6149769010380557,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,samplesize,JC,46,0.7424580917654988,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,manvars,BC,46,0.4236690910735431,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,manvars,JC,46,0.5092645327650462,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,measurevars,BC,46,0.5956935366575637,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,measurevars,JC,46,0.6732086373965911,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,stats,BC,46,0.8986880850655499,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,stats,JC,46,0.7103571574799865,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,transf,BC,46,0.7349648185530382,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,transf,JC,46,0.8859769654897097,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,missd,BC,46,0.7977655292326775,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_5,missd,JC,46,0.7126008496915813,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,hypothesis,BC,57,0.7392585064427494,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,hypothesis,JC,57,0.7579334256815476,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,datas,BC,57,0.9289821529072614,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,datas,JC,57,0.7650080042205616,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,inex,BC,57,0.8399480026211341,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,inex,JC,57,0.924842124490944,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,samplesize,BC,57,0.7125942224025369,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,samplesize,JC,57,0.7818532528631545,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,manvars,BC,57,0.7054653759883884,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,manvars,JC,57,0.9355199798085174,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,measurevars,BC,57,0.7710502634885352,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,measurevars,JC,57,0.5884865259285034,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,stats,BC,57,0.680032224347962,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,stats,JC,57,0.6898256525467861,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,transf,BC,57,0.89486689888375,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,transf,JC,57,0.8311084688927729,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,missd,BC,57,0.7930266115742167,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_6,missd,JC,57,0.7348565991306342,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,hypothesis,BC,68,0.8571216440473319,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,hypothesis,JC,68,0.8764771764067203,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,datas,BC,68,0.7694525390899938,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,datas,JC,68,0.9010366828348775,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,inex,BC,68,0.681863920219506,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,inex,JC,68,0.6808275430272659,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,samplesize,BC,68,0.9070986641652606,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,samplesize,JC,68,0.7055087901409406,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,manvars,BC,68,0.6985112606953919,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,manvars,JC,68,0.7132141516991444,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,measurevars,BC,68,0.6906374688623043,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,measurevars,JC,68,0.9418061211317941,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,stats,BC,68,0.3516874900243264,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,stats,JC,68,0.8153047301345561,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,transf,BC,68,0.5443051783386267,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,transf,JC,68,0.9551122378764674,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,missd,BC,68,0.5132975252607365,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_7,missd,JC,68,0.6978916186051604,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,hypothesis,BC,79,0.9036336593674953,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,hypothesis,JC,79,0.8514127452159124,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,datas,BC,79,0.9712506525871976,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,datas,JC,79,0.8384843041470813,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,inex,BC,79,0.8445573604889116,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,inex,JC,79,0.523781041967953,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,samplesize,BC,79,0.960036726646942,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,samplesize,JC,79,0.5202399144289552,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,manvars,BC,79,0.5341070876093028,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,manvars,JC,79,0.6632796835022181,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,measurevars,BC,79,0.9079106957084575,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,measurevars,JC,79,0.7981158481275654,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,stats,BC,79,0.8062228819047655,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,stats,JC,79,0.5180028856244162,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,transf,BC,79,0.7655522421970393,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,transf,JC,79,0.4920042557986935,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,missd,BC,79,0.7785856095869232,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_8,missd,JC,79,0.34666851171548557,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,hypothesis,BC,90,0.8435741858278106,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,hypothesis,JC,90,0.955649722584505,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,datas,BC,90,0.7990900581815219,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,datas,JC,90,0.5765799064527832,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,inex,BC,90,0.5790399812426242,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,inex,JC,90,0.7942750941808181,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,samplesize,BC,90,0.6319332405811999,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,samplesize,JC,90,0.7392036652750883,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,manvars,BC,90,0.6800241784828729,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,manvars,JC,90,0.6756622124073567,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,measurevars,BC,90,0.7141784988648336,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,measurevars,JC,90,0.734538921728281,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,stats,BC,90,0.8854026531390429,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,stats,JC,90,0.6769338728645252,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,transf,BC,90,0.7591900484939519,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,transf,JC,90,0.47197552747476995,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,missd,BC,90,0.8724774530775502,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_9,missd,JC,90,0.9335554304930301,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,hypothesis,BC,2,0.4322629951757615,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,hypothesis,JC,2,0.7870974362259131,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,datas,BC,2,0.8228552723361238,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,datas,JC,2,0.8149240149448396,1
