article_number,DOI,doi_link,study_number,all_registration_urls,journal_title
38,10.1037/xge0001462,doi.org/10.1037/xge0001462,Experiment 4,https://osf.io/fuyva,Journal of Experimental Psychology: General
100,10.1037/pspi0000476,doi.org/10.1037/pspi0000476,Study 9,https://osf.io/27k56,Journal of Personality and Social Psychology
83,10.1037/pspp0000375,doi.org/10.1037/pspp0000375,Study 1b,https://osf.io/wqyuf,Journal of Personality and Social Psychology
41,10.1037/xhp0001234,doi.org/10.1037/xhp0001234,Experiment 4,https://osf.io/4gtkn,Journal of Experimental Psychology: Human Perception and Performance
36,10.1037/xge0001488,doi.org/10.1037/xge0001488,Experiment 1,https://osf.io/4my93;https://osf.io/5dyhf;https://osf.io/q4h3r;https://osf.io/83npu;https://osf.io/4skzc,Journal of Experimental Psychology: General
12,10.1037/emo0001455,doi.org/10.1037/emo0001455,Study 3,https://osf.io/KQBW5,Emotion
89,10.1037/pspp0000341,doi.org/10.1037/pspp0000341,Phase 6,https://osf.io/cseyx,Journal of Personality and Social Psychology
79,10.1037/xlm0001219,doi.org/10.1037/xlm0001219,Experiment 1,https://osf.io/329cs,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
67,10.1037/xlm0001050,doi.org/10.1037/xlm0001050,Study 2,https://osf.io/qrz8v,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
68,10.1037/xlm0000931,doi.org/10.1037/xlm0000931,Experiment 1,https://osf.io/zgtvx,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
51,10.1037/xhp0000963,doi.org/10.1037/xhp0000963,Experiment 2,https://osf.io/wx4kd,Journal of Experimental Psychology: Human Perception and Performance
43,10.1037/xhp0001191,doi.org/10.1037/xhp0001191,Experiment 2,https://osf.io/9DKGQ,Journal of Experimental Psychology: Human Perception and Performance
98,10.1037/pspa0000404,doi.org/10.1037/pspa0000404,Study 6,https://osf.io/8bves,Journal of Personality and Social Psychology
76,10.1037/xlm0001032,doi.org/10.1037/xlm0001032,Experiment 2,https://osf.io/3h7kf,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
91,10.1037/pspa0000413,doi.org/10.1037/pspa0000413,Study 1,https://osf.io/ewjty,Journal of Personality and Social Psychology
45,10.1037/xhp0001200,doi.org/10.1037/xhp0001200,Experiment 2,https://osf.io/9hvgd,Journal of Experimental Psychology: Human Perception and Performance
56,10.1037/xhp0000798,doi.org/10.1037/xhp0000798,Experiment 2,https://osf.io/nky52,Journal of Experimental Psychology: Human Perception and Performance
60,10.1037/xhp0000944,doi.org/10.1037/xhp0000944,Experiment 2 (Sample 1),https://osf.io/2djqf,Journal of Experimental Psychology: Human Perception and Performance
15,10.1037/emo0001226,doi.org/10.1037/emo0001226,Dataset 1,https://osf.io/rwbgj,Emotion
95,10.1037/pspa0000411,doi.org/10.1037/pspa0000411,Study 4,https://osf.io/nyudc,Journal of Personality and Social Psychology
46,10.1037/xhp0001187,doi.org/10.1037/xhp0001187,Experiment 2,https://osf.io/vdazs,Journal of Experimental Psychology: Human Perception and Performance
53,10.1037/xhp0001259,doi.org/10.1037/xhp0001259,Experiment 4,https://osf.io/7qtvn,Journal of Experimental Psychology: Human Perception and Performance
6,10.1037/emo0001268,doi.org/10.1037/emo0001268,NA,https://osf.io/rzdv5,Emotion
